Farm,Location,Crop type,Year,Yield
Home Farm 1,"Ailsa Craig, ON",Corn for grain,2013,178
Home Farm 2,"Ailsa Craig, ON",Soybeans,2013,46
Home Farm 3,"Ailsa Craig, ON",Wheat,2013,86
Home Farm 4,"Ailsa Craig, ON",White beans,2013,43
Home Farm 5,"Ailsa Craig, ON",Adzuki Beans,2013,0
Elevator North,"Ailsa Craig, ON",Barley,2013,45
Thames River West,"Ailsa Craig, ON",Buckwheat,2013,42
Thames River East,"Ailsa Craig, ON",Canola,2013,45
Van Daele Farm 1,"Ailsa Craig, ON",Corn for silage,2013,80000
Van Daele Farm 2,"Ailsa Craig, ON",Faba beans,2013,80
Nursing Home,"Ailsa Craig, ON",Flaxseed,2013,20
Niel Road,"Ailsa Craig, ON",Hemp,2013,20
Research Farm,"Ailsa Craig, ON",Lentils,2013,26
Turkey Barns 1,"Ailsa Craig, ON",Mustard seed,2013,15
Turkey Barns 2,"Ailsa Craig, ON",Oats,2013,100
New Ontario Rd,"Ailsa Craig, ON",Peas,2013,30
Vietch Farm,"Ailsa Craig, ON","Rye, all",2013,50
MacEwan,"Ailsa Craig, ON","Rye, fall remaining",2013,45
Gordon,"Ailsa Craig, ON","Rye, spring",2013,40
Jim,"Ailsa Craig, ON","Rye, fall seeded in previous fall",2013,42
Marie,"Ailsa Craig, ON",Safflower,2013,40
Highway 1,"Ailsa Craig, ON",Soybeans,2013,46
Highway 2,"Ailsa Craig, ON",Sugar beets,2013,2900
Elevator South,"Ailsa Craig, ON",Sunflower seed,2013,170
Block Field,"Ailsa Craig, ON",Tame hay,2013,6600
Cemetery Field,"Ailsa Craig, ON",Triticale,2013,30
Nairn Road,"Ailsa Craig, ON","Wheat, all",2013,60
Dwight's,"Ailsa Craig, ON","Wheat, durum",2013,50
Fern Hill Rd,"Ailsa Craig, ON","Wheat, spring",2013,55
Co-op,"Ailsa Craig, ON","Wheat, winter",2013,85
Research Farm,"Ailsa Craig, ON",Corn for grain,2014,152
Turkey Barns 1,"Ailsa Craig, ON",Soybeans,2014,43
Turkey Barns 2,"Ailsa Craig, ON",Wheat,2014,84
New Ontario Rd,"Ailsa Craig, ON",White beans,2014,43
Vietch Farm,"Ailsa Craig, ON",Adzuki Beans,2014,0
MacEwan,"Ailsa Craig, ON",Barley,2014,41
Gordon,"Ailsa Craig, ON",Buckwheat,2014,40
Jim,"Ailsa Craig, ON",Canola,2014,49
Marie,"Ailsa Craig, ON",Corn for silage,2014,77703
Highway 1,"Ailsa Craig, ON",Faba beans,2014,80
Highway 2,"Ailsa Craig, ON",Flaxseed,2014,23
Elevator South,"Ailsa Craig, ON",Hemp,2014,17
Block Field,"Ailsa Craig, ON",Lentils,2014,22
Cemetery Field,"Ailsa Craig, ON",Mustard seed,2014,13
Nairn Road,"Ailsa Craig, ON",Oats,2014,97
Dwight's,"Ailsa Craig, ON",Peas,2014,32
Fern Hill Rd,"Ailsa Craig, ON","Rye, all",2014,55
Co-op,"Ailsa Craig, ON","Rye, fall remaining",2014,41
Home Farm 1,"Ailsa Craig, ON","Rye, spring",2014,44
Home Farm 2,"Ailsa Craig, ON","Rye, fall seeded in previous fall",2014,42
Home Farm 3,"Ailsa Craig, ON",Safflower,2014,44
Home Farm 4,"Ailsa Craig, ON",Soybeans,2014,55
Home Farm 5,"Ailsa Craig, ON",Sugar beets,2014,2833
Elevator North,"Ailsa Craig, ON",Sunflower seed,2014,156
Thames River West,"Ailsa Craig, ON",Tame hay,2014,6013
Thames River East,"Ailsa Craig, ON",Triticale,2014,29
Van Daele Farm 1,"Ailsa Craig, ON","Wheat, all",2014,54
Van Daele Farm 2,"Ailsa Craig, ON","Wheat, durum",2014,56
Nursing Home,"Ailsa Craig, ON","Wheat, spring",2014,51
Niel Road,"Ailsa Craig, ON","Wheat, winter",2014,80
Jim,"Ailsa Craig, ON",Corn for grain,2015,182
Marie,"Ailsa Craig, ON",Soybeans,2015,44
Highway 1,"Ailsa Craig, ON",Wheat,2015,81
Highway 2,"Ailsa Craig, ON",White beans,2015,39
Elevator South,"Ailsa Craig, ON",Adzuki Beans,2015,0
Block Field,"Ailsa Craig, ON",Barley,2015,35
Cemetery Field,"Ailsa Craig, ON",Buckwheat,2015,37
Nairn Road,"Ailsa Craig, ON",Canola,2015,57
Dwight's,"Ailsa Craig, ON",Corn for silage,2015,76069
Fern Hill Rd,"Ailsa Craig, ON",Faba beans,2015,96
Co-op,"Ailsa Craig, ON",Flaxseed,2015,19
Home Farm 1,"Ailsa Craig, ON",Hemp,2015,14
Home Farm 2,"Ailsa Craig, ON",Lentils,2015,25
Home Farm 3,"Ailsa Craig, ON",Mustard seed,2015,12
Home Farm 4,"Ailsa Craig, ON",Oats,2015,101
Home Farm 5,"Ailsa Craig, ON",Peas,2015,35
Elevator North,"Ailsa Craig, ON","Rye, all",2015,55
Thames River West,"Ailsa Craig, ON","Rye, fall remaining",2015,38
Thames River East,"Ailsa Craig, ON","Rye, spring",2015,50
Van Daele Farm 1,"Ailsa Craig, ON","Rye, fall seeded in previous fall",2015,34
Van Daele Farm 2,"Ailsa Craig, ON",Safflower,2015,41
Nursing Home,"Ailsa Craig, ON",Soybeans,2015,57
Niel Road,"Ailsa Craig, ON",Sugar beets,2015,3064
Research Farm,"Ailsa Craig, ON",Sunflower seed,2015,133
Turkey Barns 1,"Ailsa Craig, ON",Tame hay,2015,6984
Turkey Barns 2,"Ailsa Craig, ON",Triticale,2015,31
New Ontario Rd,"Ailsa Craig, ON","Wheat, all",2015,62
Vietch Farm,"Ailsa Craig, ON","Wheat, durum",2015,59
MacEwan,"Ailsa Craig, ON","Wheat, spring",2015,56
Gordon,"Ailsa Craig, ON","Wheat, winter",2015,77
Jim,"Ailsa Craig, ON",Corn for grain,2016,175
Marie,"Ailsa Craig, ON",Soybeans,2016,42
Highway 1,"Ailsa Craig, ON",Wheat,2016,94
Highway 2,"Ailsa Craig, ON",White beans,2016,47
Elevator South,"Ailsa Craig, ON",Adzuki Beans,2016,0
Block Field,"Ailsa Craig, ON",Barley,2016,40
Cemetery Field,"Ailsa Craig, ON",Buckwheat,2016,33
Nairn Road,"Ailsa Craig, ON",Canola,2016,57
Dwight's,"Ailsa Craig, ON",Corn for silage,2016,90400
Fern Hill Rd,"Ailsa Craig, ON",Faba beans,2016,115
Co-op,"Ailsa Craig, ON",Flaxseed,2016,19
Home Farm 1,"Ailsa Craig, ON",Hemp,2016,16
Home Farm 2,"Ailsa Craig, ON",Lentils,2016,27
Home Farm 3,"Ailsa Craig, ON",Mustard seed,2016,10
Home Farm 4,"Ailsa Craig, ON",Oats,2016,87
Home Farm 5,"Ailsa Craig, ON",Peas,2016,35
Elevator North,"Ailsa Craig, ON","Rye, all",2016,64
Thames River West,"Ailsa Craig, ON","Rye, fall remaining",2016,44
Thames River East,"Ailsa Craig, ON","Rye, spring",2016,56
Van Daele Farm 1,"Ailsa Craig, ON","Rye, fall seeded in previous fall",2016,38
Van Daele Farm 2,"Ailsa Craig, ON",Safflower,2016,42
Nursing Home,"Ailsa Craig, ON",Soybeans,2016,57
Niel Road,"Ailsa Craig, ON",Sugar beets,2016,2727
Research Farm,"Ailsa Craig, ON",Sunflower seed,2016,144
Turkey Barns 1,"Ailsa Craig, ON",Tame hay,2016,7311
Turkey Barns 2,"Ailsa Craig, ON",Triticale,2016,31
New Ontario Rd,"Ailsa Craig, ON","Wheat, all",2016,72
Vietch Farm,"Ailsa Craig, ON","Wheat, durum",2016,50
MacEwan,"Ailsa Craig, ON","Wheat, spring",2016,62
Gordon,"Ailsa Craig, ON","Wheat, winter",2016,80
Nairn Road,"Ailsa Craig, ON",Corn for grain,2017,192.5
Dwight's,"Ailsa Craig, ON",Soybeans,2017,50
Fern Hill Rd,"Ailsa Craig, ON",Wheat,2017,92.5
Co-op,"Ailsa Craig, ON",White beans,2017,45.5
Home Farm 1,"Ailsa Craig, ON",Adzuki Beans,2017,0
Home Farm 2,"Ailsa Craig, ON",Barley,2017,40
Home Farm 3,"Ailsa Craig, ON",Buckwheat,2017,32
Home Farm 4,"Ailsa Craig, ON",Canola,2017,48
Home Farm 5,"Ailsa Craig, ON",Corn for silage,2017,77218
Elevator North,"Ailsa Craig, ON",Faba beans,2017,102
Thames River West,"Ailsa Craig, ON",Flaxseed,2017,16
Thames River East,"Ailsa Craig, ON",Hemp,2017,16
Van Daele Farm 1,"Ailsa Craig, ON",Lentils,2017,32
Van Daele Farm 2,"Ailsa Craig, ON",Mustard seed,2017,11
Nursing Home,"Ailsa Craig, ON",Oats,2017,70
Niel Road,"Ailsa Craig, ON",Peas,2017,31
Research Farm,"Ailsa Craig, ON","Rye, all",2017,71
Turkey Barns 1,"Ailsa Craig, ON","Rye, fall remaining",2017,38
Turkey Barns 2,"Ailsa Craig, ON","Rye, spring",2017,45
New Ontario Rd,"Ailsa Craig, ON","Rye, fall seeded in previous fall",2017,36
Vietch Farm,"Ailsa Craig, ON",Safflower,2017,45
MacEwan,"Ailsa Craig, ON",Soybeans,2017,63
Gordon,"Ailsa Craig, ON",Sugar beets,2017,3006
Jim,"Ailsa Craig, ON",Sunflower seed,2017,140
Marie,"Ailsa Craig, ON",Tame hay,2017,6602
Highway 1,"Ailsa Craig, ON",Triticale,2017,26
Highway 2,"Ailsa Craig, ON","Wheat, all",2017,86
Elevator South,"Ailsa Craig, ON","Wheat, durum",2017,58
Block Field,"Ailsa Craig, ON","Wheat, spring",2017,60
Cemetery Field,"Ailsa Craig, ON","Wheat, winter",2017,66
Fern Hill Rd,"Ailsa Craig, ON",Corn for grain,2018,210
Co-op,"Ailsa Craig, ON",Soybeans,2018,58
Home Farm 1,"Ailsa Craig, ON",Wheat,2018,91
Home Farm 2,"Ailsa Craig, ON",White beans,2018,44
Home Farm 3,"Ailsa Craig, ON",Adzuki Beans,2018,0
Home Farm 4,"Ailsa Craig, ON",Barley,2018,33
Home Farm 5,"Ailsa Craig, ON",Buckwheat,2018,29
Elevator North,"Ailsa Craig, ON",Canola,2018,47
Thames River West,"Ailsa Craig, ON",Corn for silage,2018,85553
Thames River East,"Ailsa Craig, ON",Faba beans,2018,102
Van Daele Farm 1,"Ailsa Craig, ON",Flaxseed,2018,13
Van Daele Farm 2,"Ailsa Craig, ON",Hemp,2018,17
Nursing Home,"Ailsa Craig, ON",Lentils,2018,38
Niel Road,"Ailsa Craig, ON",Mustard seed,2018,10
Research Farm,"Ailsa Craig, ON",Oats,2018,84
Turkey Barns 1,"Ailsa Craig, ON",Peas,2018,35
Turkey Barns 2,"Ailsa Craig, ON","Rye, all",2018,69
New Ontario Rd,"Ailsa Craig, ON","Rye, fall remaining",2018,43
Vietch Farm,"Ailsa Craig, ON","Rye, spring",2018,43
MacEwan,"Ailsa Craig, ON","Rye, fall seeded in previous fall",2018,32
Gordon,"Ailsa Craig, ON",Safflower,2018,53
Jim,"Ailsa Craig, ON",Soybeans,2018,74
Marie,"Ailsa Craig, ON",Sugar beets,2018,2662
Highway 1,"Ailsa Craig, ON",Sunflower seed,2018,140
Highway 2,"Ailsa Craig, ON",Tame hay,2018,6128
Elevator South,"Ailsa Craig, ON",Triticale,2018,29
Block Field,"Ailsa Craig, ON","Wheat, all",2018,82
Cemetery Field,"Ailsa Craig, ON","Wheat, durum",2018,65
Nairn Road,"Ailsa Craig, ON","Wheat, spring",2018,62
Dwight's,"Ailsa Craig, ON","Wheat, winter",2018,58
Thames River East,"Ailsa Craig, ON",Corn for grain,2019,170
Van Daele Farm 1,"Ailsa Craig, ON",Soybeans,2019,57
Van Daele Farm 2,"Ailsa Craig, ON",Wheat,2019,76
Nursing Home,"Ailsa Craig, ON",White beans,2019,51
Niel Road,"Ailsa Craig, ON",Adzuki Beans,2019,36
Research Farm,"Ailsa Craig, ON",Barley,2019,29
Turkey Barns 1,"Ailsa Craig, ON",Buckwheat,2019,26
Turkey Barns 2,"Ailsa Craig, ON",Canola,2019,48
New Ontario Rd,"Ailsa Craig, ON",Corn for silage,2019,87567
Vietch Farm,"Ailsa Craig, ON",Faba beans,2019,94
MacEwan,"Ailsa Craig, ON",Flaxseed,2019,11
Gordon,"Ailsa Craig, ON",Hemp,2019,15
Jim,"Ailsa Craig, ON",Lentils,2019,36
Marie,"Ailsa Craig, ON",Mustard seed,2019,9
Highway 1,"Ailsa Craig, ON",Oats,2019,95
Highway 2,"Ailsa Craig, ON",Peas,2019,39
Elevator South,"Ailsa Craig, ON","Rye, all",2019,72
Block Field,"Ailsa Craig, ON","Rye, fall remaining",2019,44
Cemetery Field,"Ailsa Craig, ON","Rye, spring",2019,49
Nairn Road,"Ailsa Craig, ON","Rye, fall seeded in previous fall",2019,31
Dwight's,"Ailsa Craig, ON",Safflower,2019,46
Fern Hill Rd,"Ailsa Craig, ON",Soybeans,2019,68
Co-op,"Ailsa Craig, ON",Sugar beets,2019,2389
Home Farm 1,"Ailsa Craig, ON",Sunflower seed,2019,164
Home Farm 2,"Ailsa Craig, ON",Tame hay,2019,6074
Home Farm 3,"Ailsa Craig, ON",Triticale,2019,24
Home Farm 4,"Ailsa Craig, ON","Wheat, all",2019,76
Home Farm 5,"Ailsa Craig, ON","Wheat, durum",2019,74
Elevator North,"Ailsa Craig, ON","Wheat, spring",2019,64
Thames River West,"Ailsa Craig, ON","Wheat, winter",2019,63
